name,role
Yagiz Aksoy,Assistant Professor
Brad Bart,SENIOR LECTURER
Angel Chang,Assistant Professor 
SHEELAGH CARPENDALE,PROFESSOR
LEONID CHINDELEVITCH,ASSISTANT PROFESSOR
Diana Cukierman,Senior Lecturer
James P. Delgrande,Professor
Toby Donaldson,Senior Lecturer
John Edgar,Senior Lecturer
Martin Ester,Professor
Brian Fraser,Senior Lecturer
Yasutaka Furukawa,Assistant Professor
Uwe Glässer,Professor
Mohamed Hefeeda,Professor
Harinder Singh Khangura,Senior Lecturer
Anne Lavergne,Senior Lecturer
Maxwell Libbrecht,Assistant Professor
Jiangchuan (JC) Liu,Professor
David Mitchell,Associate Professor
Jian Pei,Professor
Fred Popowich,Professor
Arrvindh Shriraman,Associate Professor
William (Nick) Sumner,Assistant Professor
Manolis Savva,Assistant Professor 
IGOR SHINKAR,ASSISTANT Professor
Ping Tan,Associate Professor
Eugenia Ternovska,Associate Professor
Keval Vora,Assistant Professor
Ke Wang,Professor
Tianzheng Wang,Assistant Professor
Kay C. Wiese,Associate Professor
KangKang Yin,Associate Professor
Greg Baker,UNIVERSITY LECTURER
Andrei Bulatov,Professor
Bobby Chan,LECTURER
Binay Bhattacharya,Professor
Ouldooz Baghban Karimi,Lecturer
Robert D. Cameron,Professor
Mo Chen,Assistant Professor
Parmit Chilana,Assistant Professor
Ryan C.N. D'Arcy,Professor
Mark S. Drew,Professor
Brian Funt,Professor
Qianping Gu,Professor
Ghassan Hamarneh,Professor
Eugene Fiume,Professor
Pavol Hell,Professor
Valentine Kabanets,Associate Professor
Ramesh Krishnamurti,Professor
Ze-Nian Li,Professor
Angelica Lim,Assistant Professor of Professional Practice
Hang Ma,Assistant Professor
Greg Mori,Professor
Steven Pearce,Lecturer
Joseph G. Peters,Professor
Janice Regan,Senior Lecturer
Ryan Shea,Assistant Professor
Anoop Sarkar,Professor
Thomas C. Shermer,Professor
Oliver Schulte,Professor
Richard Vaughan,Professor
Jiannan Wang,Assistant Professor
Cynthia Xie,Senior Lecturer
Richard (Hao) Zhang,Professor 
